"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf","expression","expression_bonf"
"Mcavernosa06191-RA",3.13280695627584,3.14888639425906,3.21057621135895,0.0731637133735656,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06192-RA",2.71425453431394,4.35505857241965,3.95647404145262,0.0466914082424836,0.544628903340568,1,"Stable","Stable"
"Mcavernosa06196-RA",-2.57931230663816,3.56426725633901,1.23065182869488,0.26728031036139,0.612329447284352,1,"Stable","Stable"
"Mcavernosa06197-RA",-1.95119954741714,6.24054821642207,3.17505905608308,0.074770508863398,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06198-RA",-1.03563886414132,2.69609002212414,1.96533024127596,0.160944404134555,0.587518856012523,1,"Stable","Stable"
"Mcavernosa06199-RA",-0.0399983629634882,4.96447449673783,0.00142100908166043,0.969929846717817,0.996980553186062,1,"Stable","Stable"
"Mcavernosa06203-RA",0.490493975465535,2.76726627843674,0.0746971790677189,0.784616584082594,0.920574216107834,1,"Stable","Stable"
"Mcavernosa06204-RA",2.27528363073444,2.82720660379506,2.49058371462499,0.114529240564527,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06208-RA",0.533055504450188,2.66923371417167,1.31465466201125,0.251553629617435,0.597224565178458,1,"Stable","Stable"
"Mcavernosa06216-RA",1.5357171818268,4.87268167101358,1.0278320836719,0.310668393282671,0.638891521682968,1,"Stable","Stable"
"Mcavernosa06217-RA",-0.943983926391458,2.72026924934624,1.32096883163056,0.250418249711896,0.597224565178458,1,"Stable","Stable"
"Mcavernosa06219-RA",0.0335989327766426,7.93339071275087,0.00168472300113365,0.967259720434978,0.996793822500603,1,"Stable","Stable"
"Mcavernosa06222-RA",-0.715658301175601,5.50641355679061,0.405072323631494,0.524481255567781,0.777077404481217,1,"Stable","Stable"
"Mcavernosa06223-RA",2.72713937511326,2.90079475970413,0.949601888975334,0.329820653746514,0.652878142091298,1,"Stable","Stable"
"Mcavernosa06227-RA",1.13968607174476,2.69050735134438,2.89730653182596,0.0887276983607761,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06235-RA",-2.91787487583569,3.48768637975072,3.1495324585274,0.0759487214348728,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06236-RA",-2.17029402916254,3.43805328115438,1.28533381020652,0.256909654069463,0.603063165704454,1,"Stable","Stable"
"Mcavernosa06239-RA",1.89312563370596,2.99204213596714,1.09196341641353,0.296036588401268,0.628166202784882,1,"Stable","Stable"
"Mcavernosa06240-RA",-3.15520648583029,3.16792403599118,1.22131101212212,0.269103518744086,0.613725889507292,1,"Stable","Stable"
"Mcavernosa06244-RA",-3.8073138347625,3.17768915660477,3.11294042881558,0.077672617425412,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06248-RA",0.880735559175074,2.67992071976069,2.20438476931692,0.137618788707402,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06250-RA",3.18220784821993,6.72350527643888,3.50933305910798,0.0610240168155248,0.555725775133094,1,"Stable","Stable"
"Mcavernosa06251-RA",3.18730428314553,3.75742317686797,2.87499038584857,0.0899655123221618,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06252-RA",1.63981829685223,2.74063779804582,3.83473235572373,0.0502010053157603,0.553163488613742,1,"Stable","Stable"
"Mcavernosa06254-RA",1.81542836148918,5.42205987654792,1.5514913964312,0.212915405371895,0.597224565178458,1,"Stable","Stable"
"Mcavernosa06255-RA",-1.36072325845169,4.48259530414825,1.01140701452521,0.314565997711425,0.64198176311853,1,"Stable","Stable"
"Mcavernosa06257-RA",0.533055504450188,2.66923371417167,1.31465466201125,0.251553629617435,0.597224565178458,1,"Stable","Stable"
"Mcavernosa06258-RA",-2.51136363306228,4.66764539350917,2.35057928834012,0.125236461075709,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06260-RA",-0.107201771221435,2.89056572837614,0.00402735263433751,0.949399074614798,0.990997395907414,1,"Stable","Stable"
"Mcavernosa06261-RA",4.60540812925485,3.36978869856604,3.4547066953897,0.0630719242338448,0.555725775133094,1,"Stable","Stable"
"Mcavernosa06264-RA",0.453449938455879,4.28820715776972,0.10438680302164,0.74662748775613,0.902700584844869,1,"Stable","Stable"
"Mcavernosa06265-RA",-0.499478523176272,2.67054263589465,0.981497226981815,0.321829444287394,0.646954229005189,1,"Stable","Stable"
"Mcavernosa06266-RA",1.49070493482969,2.73247634025629,3.46335999842211,0.062742697058471,0.555725775133094,1,"Stable","Stable"
"Mcavernosa06267-RA",-1.04460790804767,4.03930025700799,0.381166691636661,0.536979503232319,0.785409999533609,1,"Stable","Stable"
"Mcavernosa06270-RA",0.0739878038647699,4.15526090812938,0.00401482352461002,0.949477740321653,0.990997395907414,1,"Stable","Stable"
"Mcavernosa06273-RA",-1.19980833186609,4.20725745504004,0.632579018738014,0.426410888073462,0.721778167198216,1,"Stable","Stable"
"Mcavernosa06278-RA",0.575637861787179,3.7405881245121,0.144664705025562,0.703687007740386,0.883347730627993,1,"Stable","Stable"
"Mcavernosa06281-RA",-1.68589775842604,7.52274055202294,3.17356395546413,0.0748389729391335,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06282-RA",1.18453531480962,4.71716899980733,0.775580828854867,0.378496096137745,0.693735316773704,1,"Stable","Stable"
"Mcavernosa06283-RA",-3.01652891326433,4.42088849554077,4.15079603843637,0.0416149556377622,0.536381131524782,1,"Stable","Stable"
"Mcavernosa06284-RA",-1.61923533024188,5.63995440707239,2.26676499381946,0.132175549854242,0.557251689217917,1,"Stable","Stable"
"Mcavernosa06285-RA",-0.765587926830142,4.63010539438838,0.368598777433228,0.543769046873153,0.788713515362482,1,"Stable","Stable"
"Mcavernosa06286-RA",1.80400793666408,2.77016723093509,4.09894735443154,0.0429099213689609,0.536381131524782,1,"Stable","Stable"
"Mcavernosa06288-RA",-2.06778515601146,2.93245503980251,0.56052143022586,0.454050226688249,0.733081285957562,1,"Stable","Stable"
