"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf","expression","expression_bonf"
"LOC110039609",-0.0602873289085127,4.85759633612723,0.0174850626902092,0.894801506195305,0.963212941573334,1,"Stable","Stable"
"LOC110046989",-1.00025343048685,1.45762708261034,1.82312440921702,0.176941819450951,0.513345008822345,1,"Stable","Stable"
"LOC110047641",0.777614421384172,0.226329047872895,0.337669976348893,0.561177253287898,0.810152676318525,1,"Stable","Stable"
"LOC110044375",-0.612831782648343,0.479672984491002,0.407457944105417,0.523262580543941,0.787659052329288,1,"Stable","Stable"
"LOC110045034",0.251571515394498,1.62116320483963,0.147100185372096,0.701322071779821,0.884244571375597,1,"Stable","Stable"
"LOC110046657",0.0643388193418245,5.85047349096498,0.046325083886277,0.829585954017464,0.938246722564581,1,"Stable","Stable"
"LOC110042427",-1.39106126126967,4.8780497225882,8.12055634846745,0.0043766125787081,0.0776460099090065,1,"Stable","Stable"
"LOC110045694",0.437739397209538,2.38322189221028,0.397197113808755,0.528540345621284,0.791343107409472,1,"Stable","Stable"
"LOC110056753",-2.38014731120964,0.222339998026041,3.59176248445135,0.0580666283613236,0.323709924539313,1,"Stable","Stable"
"LOC110066532",2.53796860657507,1.49684518922912,9.33604650034783,0.00224689740916378,0.0509682676054243,1,"Stable","Stable"
"LOC110040936",-0.687573065856685,4.28203565763609,3.4894694292927,0.0617603760288751,0.333354581587276,1,"Stable","Stable"
"LOC110045638",0.114573279248654,2.81828397929756,0.0616297464260036,0.803938358471347,0.928484636247779,1,"Stable","Stable"
"LOC110048973",-0.936584137019607,2.91675103519947,6.29786990517266,0.0120883143182555,0.144088934276296,1,"Stable","Stable"
"LOC110041331",1.79274732765897,0.197816930964405,2.20035923004417,0.137978579443754,0.464452779146272,1,"Stable","Stable"
"LOC110056104",0.192194056930785,2.48469465276815,0.118196836424147,0.730998454226548,0.897516236449735,1,"Stable","Stable"
"LOC110044220",-1.20464791262439,3.56451032437912,8.07343121438231,0.0044918978670232,0.0792043878480609,1,"Stable","Stable"
"LOC110041681",-0.66821293500434,6.8108124182534,1.63718187630773,0.200712564823962,0.537378357506726,1,"Stable","Stable"
"LOC110041581",0.566973803778001,1.4956207989513,0.788970696146677,0.374411545930059,0.688322275026789,1,"Stable","Stable"
"LOC110050606",-0.582360483258544,3.1021306160596,1.10455115440251,0.293269481231244,0.627488939452929,1,"Stable","Stable"
"LOC110059699",0.209295360224631,5.97358638383283,0.296234581652204,0.586252686458853,0.823779540434743,1,"Stable","Stable"
"LOC110058717",2.12524748919977,2.13123162067609,3.47985986464821,0.062120000081504,0.334184499195713,1,"Stable","Stable"
"LOC110051557",-0.254951208211447,0.474818598529653,0.0556748690729947,0.813467413059047,0.931689327879779,1,"Stable","Stable"
"LOC110048298",2.78759196143463,0.684105549440719,4.52639811591978,0.0333757941447689,0.249818300092819,1,"Stable","Stable"
"LOC110045726",-0.982263581167693,2.68640987714156,2.89964255545624,0.0885991972586235,0.388080882834088,1,"Stable","Stable"
"LOC110042630",-0.206835197056314,5.32446616920105,0.319645509131519,0.571820758879739,0.815456024289435,1,"Stable","Stable"
"LOC110041942",0.783189651692743,3.84562035308805,2.93296042384977,0.0867882138169215,0.385193143791337,1,"Stable","Stable"
"LOC110042101",0.785944545994208,0.636832163482103,0.785977889941424,0.37531910089762,0.688957336940699,1,"Stable","Stable"
"LOC110042803",-0.125824381314522,2.87092075914004,0.0659741419915356,0.797291234628263,0.926164537380727,1,"Stable","Stable"
"LOC110041770",-0.966547308579381,4.19981853227216,5.05176813825958,0.0246008219495759,0.212278122424031,1,"Stable","Stable"
"LOC110042197",-0.687921677617803,3.58055750472306,2.06669076792481,0.150547876365784,0.481774333459096,1,"Stable","Stable"
"LOC110042358",-1.30479102522755,3.05655687233067,6.14047371255683,0.0132121913910984,0.150773394991651,1,"Stable","Stable"
"LOC110042733",-0.225663250966111,4.75258811453004,0.365119495189532,0.545676655077685,0.801403284782707,1,"Stable","Stable"
"LOC110060676",-1.46469775435897,0.504342020183987,1.96607628577964,0.160864958728621,0.494423408793274,1,"Stable","Stable"
"LOC110042861",0.410613873183952,1.49879442601906,0.348155748722434,0.555158977135708,0.806514303979571,1,"Stable","Stable"
"LOC110043922",-0.402439358037106,2.38770216549142,0.750596581540741,0.386287415242336,0.696628999764829,1,"Stable","Stable"
"LOC110043758",0.0277023187177769,4.11114429433123,0.00721121921912626,0.932325867709464,0.977527037058692,1,"Stable","Stable"
"LOC110043018",0.425455376691727,5.12500152648194,1.73122702101762,0.18825427146796,0.524460155628685,1,"Stable","Stable"
"LOC110044116",0.205812098440445,2.9897565001325,0.180603726315695,0.670854920280427,0.869696932521103,1,"Stable","Stable"
"LOC110044019",-0.28296213304097,4.80274430835882,0.493812391911753,0.482231594631248,0.76381273370883,1,"Stable","Stable"
"LOC110061668",0.927267132391451,0.403816726570825,1.06021392280848,0.303166399200074,0.637748175180196,1,"Stable","Stable"
"LOC110062613",1.10892962636776,1.45025825390966,0.810223434304302,0.368054200523704,0.683286948229662,1,"Stable","Stable"
"LOC110063598",0.00542476053916091,3.78981821611993,6.80264583010626e-05,0.993419270070336,0.997208202947372,1,"Stable","Stable"
"LOC110064591",-1.95127644258978,0.313119145398926,1.85308050393499,0.173425538177669,0.508812986508229,1,"Stable","Stable"
"LOC110045907",0.0252825958069169,0.921344354292275,0.000772682321709794,0.977823927958133,0.99295191259036,1,"Stable","Stable"
"LOC110065562",-0.256474645017475,0.251705404274118,0.0785498494233998,0.779272313501492,0.918877980835582,1,"Stable","Stable"
