"","Mcav_na_K11_na_exp_na_salmon","Mcav_na_K12_na_control_na_salmon","Mcav_na_K13_na_exp_na_salmon","Mcav_na_K14_na_control_na_salmon","Mcav_na_K15_na_exp_na_salmon","Mcav_na_K16_na_control_na_salmon","Mcav_na_K17_na_D1_na_salmon","Mcav_na_K18_na_D1_na_salmon","Mcav_na_K19_na_D1_na_salmon","Mcav_na_K22_na_D1control_na_salmon","Mcav_na_K23_na_D1_na_salmon","Mcav_na_K25_na_D1_na_salmon","Mcav_na_K27_na_D4control_na_salmon","Mcav_na_K29_na_D1_na_salmon","Mcav_na_K31_na_D1_na_salmon","Mcav_na_K33_na_D1control_na_salmon","Mcav_na_K34_na_D1control_na_salmon","Mcav_na_K36_na_D1_na_salmon","Mcav_na_K38_na_D2control_na_salmon","Mcav_na_K39_na_D2control_na_salmon","Mcav_na_K40_na_D1_na_salmon","Mcav_na_K42_na_D4control_na_salmon","Mcav_na_K43_na_D3control_na_salmon","Mcav_na_K44_na_D1_na_salmon","Mcav_na_K45_na_D1_na_salmon","Mcav_na_K47_na_D4control_na_salmon","Mcav_na_K49_na_D1_na_salmon","Mcav_na_K50_na_D1control_na_salmon","Mcav_na_K51_na_D4control_na_salmon"
"Mcavernosa06188-RA",591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591,591
"Mcavernosa06189-RA",1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515,1515
"Mcavernosa06190-RA",216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
"Mcavernosa06191-RA",1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764,1764
"Mcavernosa06192-RA",3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777,3777
"Mcavernosa06196-RA",3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031
"Mcavernosa06197-RA",1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396
"Mcavernosa06198-RA",994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994,994
"Mcavernosa06199-RA",5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956,5956
"Mcavernosa06200-RA",417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
"Mcavernosa06201-RA",669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669,669
"Mcavernosa06203-RA",1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776
"Mcavernosa06204-RA",927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927,927
"Mcavernosa06205-RA",1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581
"Mcavernosa06206-RA",477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
"Mcavernosa06207-RA",37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744,37.744
"Mcavernosa06208-RA",321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321,321
"Mcavernosa06209-RA",777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
"Mcavernosa06210-RA",168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
